Product ID,Product Name,Price,Price Unit,Brand,Supplier Name,Supplier Location,Subcategory,Category,Sector,Image URL,Subcategory URL,Sector URL
23552,"Weighing Machine Batteries",₹500,,Others,"Simandhar Technology","Ahmedabad, Gujarat","Weighing Machine Batteries","Batteries & Charge Storage Devices","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240206063753-7a205ff0-4663-4c73-b1e5-77b0a2e61d21.jpeg,/subcategory/weighingmachinebatteries?id=1363,/industry/electrical
229219,"GT10 Turbine Vibrator Findeva Type",₹2,300,,Others,"Magicpack Automations Private Limited","Medchal Malkajgiri, Telangana","Vibration Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/gt10-turbine-vibrator-findeva--20250226103824929.png,/subcategory/vibrationmotor?id=1415,/industry/electrical
229220,"Vibratory Motor",₹14,300,,,"NBE MOTORS PVT. LTD.","Ahmedabad, Gujarat","Vibration Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/vibratory-motor-20250519121829907.png,/subcategory/vibrationmotor?id=1415,/industry/electrical
229221,"JD Vibratory Motor",₹5,500,,Others,"JD MAGNETIC IMPEX","Ahmedabad, Gujarat","Vibration Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/jd-vibratory-motor-20240602133012848.jpg,/subcategory/vibrationmotor?id=1415,/industry/electrical
24358,"Ametek Double Stage Thru Pass Vacuum Motor, Power: 1200 W",₹6,000,,Ametek,"M/S INVENTA CLEANTEC PVT.LTD.","NOIDA, Uttar Pradesh","Vacuum Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ametek-double-stage-thru-pass--20240717101716511.jpg,/subcategory/vacuummotor?id=1414,/industry/electrical
24384,"Single Phase Vacuum Cleaner Motors",₹3,800,,Others,"ECOTECH MACHINERIES","Delhi","Vacuum Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20221031043449-5c40d434-9725-48da-9a0d-0279281aec91.jpg,/subcategory/vacuummotor?id=1414,/industry/electrical
24383,"Commercial Vacuum Cleaner 2 Motors, 2000 Watt, 80 Litre",₹45,000,,Others,"TREO ENGINEERING PRIVATE LIMITED","Pune, Maharashtra","Vacuum Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/commercial-vacuum-cleaner-2-mo-20250118152645072.jpg,/subcategory/vacuummotor?id=1414,/industry/electrical
24344,"Electron Foot Single Phase Universal Motor, Power: 1HP, 220V",₹2,600,,Electron,"S.D. ELECTRICALS","New Delhi, Delhi","Universal Motors","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/electron-foot-single-phase-uni-20240511154728988.JPG,/subcategory/universalmotors?id=1413,/industry/electrical
24343,"Havells 5HP Three Phase Four Pole CXC Squirrel Cage Foot Mounted Induction Motor",₹18,501,,Others,"MLSON Home Appliances","Kushinagar, Uttar Pradesh","Three Phase Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/havells-5hp-three-phase-four-pole-cxc-squirrel-cage-fo20231211084325.jpg,/subcategory/threephasemotor?id=1412,/industry/electrical
24342,"Krishna 1 HP Three Phase Electric Motor",₹6,900,,Others,"HITESH INDUSTRIES","Ahmedabad, Gujarat","Three Phase Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20230117100120-a91625b0-5dc2-4ef5-8c15-92577d5f0ac1.jpg,/subcategory/threephasemotor?id=1412,/industry/electrical
24341,"Kirloskar Three Phase Electric Motor Pump",₹1,75,000,,Others,"S T ENGINEERING","Valsad, Gujarat","Three Phase Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/kirloskar-three-phase-electric-20250204094959218.jpeg,/subcategory/threephasemotor?id=1412,/industry/electrical
24293,"Stone Crusher Motor",₹1,00,000,,Others,"GLOBAL ENTERPRISES","Mumbai, Maharashtra","Stone Crusher Motor","Electric Motors and Components","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240801115918-a8a07ba8-dfc4-4af2-90fb-3466366697d5.jpg,/subcategory/stonecrushermotor?id=1411,/industry/electrical
24518,"9 W Solar Street Lights Installation Service",₹17,000,,Others,"VO GREENTECH SUNRAYS PRIVATE LIMITED","Delhi","Solar Light Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/9-w-solar-street-lights-instal-20250705192918237.jpg,/subcategory/solarlightinstallationservices?id=1429,/industry/electrical
24517,"Led Lighting Installation Services",₹3,800,,Others,"NAMATRONIX","Nashik, Maharashtra","Solar Light Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/led-lighting-installation-serv-20241128163700310.jpg,/subcategory/solarlightinstallationservices?id=1429,/industry/electrical
24516,"Shop Floor Cabling And Lighting Installation",₹58,999,,Others,"OM EKDANTAY ELECTRICALS","Pune, Maharashtra","Solar Light Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/shop-floor-cabling-and-lightin-20250716192022307.jpg,/subcategory/solarlightinstallationservices?id=1429,/industry/electrical
24510,"Solar Street Light Pole Erection Service",₹3,000,,Others,"TEKVIHAAN ENGINEERING SOLUTIONS33AUBPM5536G1ZT","CHENNAI, Tamil Nadu","Poles Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/solar-street-light-pole-erecti-20240524190907448.jpg,/subcategory/polesinstallationservices?id=1428,/industry/electrical
24509,"Street Light Installation Services",₹5,500,,Others,"Beetroute Engineering & Services Private Limited","Noida, Uttar Pradesh","Poles Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/street-light-installation-serv-20240510041836474.png,/subcategory/polesinstallationservices?id=1428,/industry/electrical
24508,"Street Light Poles Installation Services",₹5,500,,Others,"AARON INDIA INDUSTRIES","Pune, Maharashtra","Poles Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/street-light-poles-installatio-20240314190454072.jpg,/subcategory/polesinstallationservices?id=1428,/industry/electrical
24506,"App Localization",₹1,500,,Others,"LanguageNoBar","Bengaluru, Karnataka","Localization Service","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240809062728-ea06e1d1-18b1-4f39-bcce-b95770624060.jpg,/subcategory/localizationservice?id=1427,/industry/electrical
24505,"Mdf Giant 3 Feet Light up Marquee Number",₹2,100,,BASH N SPLASH,"Balloon Studio","Delhi","Landscape Lighting Service","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/mdf-giant-3-feet-light-up-marq-20240806032146884.png,/subcategory/landscapelightingservice?id=1426,/industry/electrical
24504,"Landscape Designing Service",₹500,Square Feet,Others,"Right Angle","Mumbai, Maharashtra","Landscape Lighting Service","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/landscape-designing-service-20240501140329170.jpg,/subcategory/landscapelightingservice?id=1426,/industry/electrical
24503,"Land Development Service",₹1,000,Square Feet,Others,"Zonah Developers Private Limited","Hyderabad, Telangana","Landscape Lighting Service","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/land-development-service-20240619113049473.jpg,/subcategory/landscapelightingservice?id=1426,/industry/electrical
24482,"HT Line Development:",₹12,580,Square Feet,Others,"Mahantam Electrical & Services","Vadodara, Gujarat","HT Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ht-line-development-20240912041048644.jpeg,/subcategory/htinstallationservices?id=1425,/industry/electrical
24481,"HT Panel Installation Services",₹2,980,,Others,"SATNAM ENGINEERING & AUTOMATION","Faridabad, Haryana","HT Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ht-panel-installation-services-20240916165115139.jpg,/subcategory/htinstallationservices?id=1425,/industry/electrical
24484,"HT Electrical Installation And Certification",₹1,200,,Others,"Satyam Electricals","Ahmedabad, Gujarat","HT Installation Services","Electrical & Signaling Contractors","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ht-electrical-installation-and-20240430103811649.jpg,/subcategory/htinstallationservices?id=1425,/industry/electrical
24844,"Single Core High Tension Cable",₹550,Meter,Others,"ATS LASER","Thane, Maharashtra","Three Core Cables","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/single-core-high-tension-cable-20240405200925202.jpg,/subcategory/threecorecables?id=1451,/industry/electrical
24843,"RS485 TO USB CONVERTER",₹1,000,,Others,"HINDUSTAN MACHINE AUTOMATION","Bhopal, Madhya Pradesh","Three Core Cables","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/rs485-to-usb-converter-20250904133012183.jpg,/subcategory/threecorecables?id=1451,/industry/electrical
24842,"Wire 3+1 Copper",₹600,,Others,"Satyaraj corporation","South East Delhi, Delhi","Three Core Cables","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220216090337-ea5ea1d0-a649-4e60-967e-74728502ce4c.jpg,/subcategory/threecorecables?id=1451,/industry/electrical
24836,"1.5 sq mm x2 core fire 🔥 cable",₹2,750,,Others,"MAHAVIR ELECTRICALS","Surat, Gujarat","Thermocouple Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240301111617-c9167e1d-aab1-4ff5-83ec-e80612091edc.jpg,/subcategory/thermocouplewire?id=1450,/industry/electrical
24835,"Fiber Glass Wire 1.5sqmm",₹50,Meter,Sensoheat,"Sensoheat Engineering Equipments (I) Private Limited","Pune, Maharashtra","Thermocouple Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/fiber-glass-wire-15sqmm-20240918102047469.jpeg,/subcategory/thermocouplewire?id=1450,/industry/electrical
24834,"Non Armoured ELTEC Overall Shield PVC Insulated Multi Pair Thermocouple Cables",₹200,,Others,"ELTEC CABLES AND INSTRUMENTS","Rajkot, Gujarat","Thermocouple Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/non-armoured-eltec-overall-shield-pvc-insulated-multi-20240109104253.jpg,/subcategory/thermocouplewire?id=1450,/industry/electrical
24830,"20mtrs Black Teflon 16.0 Sq.Mm Teflon Wire Cable, 1100",₹288,,Others,"Anand Trading Corporation","Puducherry","Teflon Wires","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20mtrs-black-teflon-160-sqmm-teflon-wire-cable-110020231228105124.jpg,/subcategory/teflonwires?id=1449,/industry/electrical
24829,"ELTEC PTFE Wires, Size: 32awg To 2 Awg",₹50,,Others,"ELTEC CABLES AND INSTRUMENTS","Rajkot, Gujarat","Teflon Wires","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/eltec-ptfe-wires-size-32awg-to-2-awg20240109104238.jpg,/subcategory/teflonwires?id=1449,/industry/electrical
24828,"PTFE Insulated Wires",₹52,Meter,Others,"VIKAS SALES CORPORATION","Delhi","Teflon Wires","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ptfe-insulated-wires-20250218110140104.jpg,/subcategory/teflonwires?id=1449,/industry/electrical
24827,"300mm Nylon Greatselec CV-300C Cables tie 300x3.6mm manufacturers in Ahmedabad, For Industrial, Packaging Size: 100pcs",₹90,,Greatselec Part Number Cv : 300c Length 300mm Material Nylon Width 3.6 Packaging Size 100pcs Usage/Application Industrial,"SELECTER INDIA","Pune, Maharashtra","Self Locking Cable Tie","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/300mm-nylon-greatselec-cv-300c-cables-tie-300x36mm-man20240108084858.jpg,/subcategory/selflockingcabletie?id=1448,/industry/electrical
24826,"Nylone Natural/White UV Nylon Cable Tie, Packaging Size: Packets",₹10,,Others,"Rajasthan Pipe Traders","Ahmedabad, Gujarat","Self Locking Cable Tie","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/nylone-naturalwhite-uv-nylon-cable-tie-packaging-size-20230927090407.jpg,/subcategory/selflockingcabletie?id=1448,/industry/electrical
24825,"Shivam Nylon Cable tie 300 mm self locking pack of 100 (COD order available)",₹50,,Shivam,"SHIVAM TRADERS","Ghaziabad, Uttar Pradesh","Self Locking Cable Tie","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/shivam-nylon-cable-tie-300-mm--20250204182325600.jpg,/subcategory/selflockingcabletie?id=1448,/industry/electrical
24796,"PVC Coated GI Wire",₹75,,Others,"Rajesh Industrial Corporation","Chennai, Tamil Nadu","PVC Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/pvc-coated-gi-wire-20250226144527613.jpg,/subcategory/pvcwire?id=1447,/industry/electrical
24795,"Cable",₹300,Meter,Others,"FRIENDS POWER TOOLS & SPARES","Coimbatore, Tamil Nadu","PVC Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/cable-20241224164554433.jpg,/subcategory/pvcwire?id=1447,/industry/electrical
24794,"Wire",₹80,,Others,"M/S RIMJHIM STAINLESS LTD.","Kanpur, Uttar Pradesh","PVC Wire","Electrical Cables & Wires","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/wire-20240704133010440.jpg,/subcategory/pvcwire?id=1447,/industry/electrical
25051,"Wiring Ducts",₹10,,Others,"Aakash Enterprises","delhi","Wiring Ducts","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/wiring-ducts-20240223234016950.jpg,/subcategory/wiringducts?id=1467,/industry/electrical
25044,"Cable Tray Installation Service",₹400,Meter,TATA,"ELECTRO POWER SYSTEM","Chennai, Tamil Nadu","Stainless Steel Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/cable-tray-installation-servic-20240703092926942.jpg,/subcategory/stainlesssteelcabletrays?id=1466,/industry/electrical
25043,"Galvanized Cable Trays",₹220,Meter,Others,"SRG INTERNATIONAL PRIVATE LIMITED","Faridabad, Haryana","Stainless Steel Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20221210042612-1b4b9f4d-a10c-4542-86cc-c627854e63d7.jpg,/subcategory/stainlesssteelcabletrays?id=1466,/industry/electrical
25041,"1.6 mm Stainless Steel Cable Tray",₹115,Meter,Brightway,"BRIGHTWAY ENGINEERS","Ghaziabad, Uttar Pradesh","Stainless Steel Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/16-mm-stainless-steel-cable-t-20250903130810870.jpg,/subcategory/stainlesssteelcabletrays?id=1466,/industry/electrical
25005,"GSN White PVC Trunking Profile, Size: 25 X 32 Mm (hxw)",₹40,,GSN,"G. S. N. Industries","Howrah, West Bengal","PVC Trunking","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/gsn-white-pvc-trunking-profile-20240525001651051.png,/subcategory/pvctrunking?id=1465,/industry/electrical
25006,"PVC Trunking Patti",₹15,,Others,"Green Polymers","Ahmedabad, Gujarat","PVC Trunking","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/pvc-trunking-patti-20240518141534117.jpg,/subcategory/pvctrunking?id=1465,/industry/electrical
25004,"Plastic PVC cable trunk, For Electric Wire Installation",₹150,Meter,Others,"Thangam Polymers","Chennai, Tamil Nadu","PVC Trunking","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/plastic-pvc-cable-trunk-for-e-20240523163612684.jpg,/subcategory/pvctrunking?id=1465,/industry/electrical
25000,"Pvc Cable Tray With Cover 25x45mm",₹110,Meter,PAL POWER,"Pal Power Tech","ludhiyana, Punjab","PVC Cable Tray","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/pvc-cable-tray-with-cover-25x4-20250910204800062.jpg,/subcategory/pvccabletray?id=1464,/industry/electrical
25002,"PVC Cable Tray",₹170,Square Feet,Adequate Steel,"ADEQUATE STEEL FABRICATORS","New Delhi, Delhi","PVC Cable Tray","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20211230041427-65faf92b-8a3b-419e-9abd-19c134ab146d.jpg,/subcategory/pvccabletray?id=1464,/industry/electrical
25001,"Mild steel Overhead Cable Raceways, For Industrial, Slotted",₹200,Square Feet,Others,"Beeco Storage Systems","Gautam Budh Nagar,, Uttar Pradesh","PVC Cable Tray","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220110071906-95360a8d-5a94-454f-a3b9-28603c4239b8.jpg,/subcategory/pvccabletray?id=1464,/industry/electrical
229266,"Perforated Trays, Size: 300 Mm",₹150,,Others,"WIRE NETTING STORES","Delhi","Perforated Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/perforated-trays-size-300-mm-20250307131807206.png,/subcategory/perforatedcabletrays?id=1463,/industry/electrical
229267,"MS & GI Ladder Perforated Cable Trays, For Industrial",₹200,,Others,"NEXT GEN POWER CONTROLS","Ahmedabad, Gujarat","Perforated Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/ms--gi-ladder-perforated-cabl-20240404111946217.jpg,/subcategory/perforatedcabletrays?id=1463,/industry/electrical
229268,"Frp Ladder Type Cable Trays Assembly System",₹600,,Others,"INDIANA CONVEYORS PRIVATE LIMITED","Pune, Maharashtra","Perforated Cable Trays","Electrical Conduits and Fittings","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/frp-ladder-type-cable-trays-as-20250122134032884.jpg,/subcategory/perforatedcabletrays?id=1463,/industry/electrical
26132,"Three Phase Retrofitted ZNC EDM Control Panel",₹2,25,000,,Others,"VINPAK MACHINES PRIVATE LIMITED","Pune, Maharashtra","ZNC EDM Control Panel","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220909041016-ef4464a8-c9ea-47c7-b442-649cb8d9327e.jpg,/subcategory/zncedmcontrolpanel?id=1572,/industry/electrical
26131,"Anodic Protection",₹225,,Constrochem,"CONSTRO CHEM","Thane, Maharashtra","Zinc Anodes","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/anodic-protection-20240722175004623.jpeg,/subcategory/zincanodes?id=1571,/industry/electrical
26130,"Material Grade: 304 Square Lead Crom anod, For Industrial",₹4,500,Kilogram,Others,"Tirupati Metals","Hyderabad, Telangana","Zinc Anodes","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/material-grade-304-square-lea-20240905170124194.jpg,/subcategory/zincanodes?id=1571,/industry/electrical
26129,"Yoke Plate",₹800,,Others,"Chitra Electricals","peraiyur, Tamil Nadu","Yoke Plate","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/yoke-plate-20240407041142910.jpg,/subcategory/yokeplate?id=1570,/industry/electrical
26126,"24 MS WIRE SPOOL",₹13,500,,Govind Tools,"Govind Tools","Faridabad, Haryana","Wire Spool","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/24-ms-wire-spool-20240917141652163.jpg,/subcategory/wirespool?id=1569,/industry/electrical
26125,"Wire Rolls Spools",₹5,500,,GBT,"G B Tech India","New Delhi, Delhi","Wire Spool","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/wire-rolls-spools-20240514114519234.jpg,/subcategory/wirespool?id=1569,/industry/electrical
26124,"Plastic Wire Spool",₹2,80,000,,Others,"Wire Tech Machine(India)","Delhi","Wire Spool","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240504043750-920cdb14-228b-4fa6-824f-f938e379f1a8.jpg,/subcategory/wirespool?id=1569,/industry/electrical
26121,"Cable Seals",₹2,,Others,"Aakash Enterprises","delhi","Wire Seals","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/cable-seals-20240223233916465.jpg,/subcategory/wireseals?id=1568,/industry/electrical
26120,"Wire Seal Cable",₹17,,Others,"Rajsons Marketing Private Limited","Ahmedabad, Gujarat","Wire Seals","Electrical Equipment","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/wire-seal-cable-20240612052019661.jpg,/subcategory/wireseals?id=1568,/industry/electrical
26772,"Steel Flameproof Instrument Enclosure, For Electronics/Electrical",₹28,000,,Others,"TEKVIHAAN ENGINEERING SOLUTIONS33AUBPM5536G1ZT","CHENNAI, Tamil Nadu","Weighbridge Junction Box","Electrical Panels & Distribution Box","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/steel-flameproof-instrument-en-20240523172622353.jpg,/subcategory/weighbridgejunctionbox?id=1633,/industry/electrical
26771,"Poly Carbonate Square Terminal Junction Boxes, For Industrial, IP44",₹2,400,,Others,"INDUSTRIAL ELECTRICALS","Udaipur, Rajasthan","Weighbridge Junction Box","Electrical Panels & Distribution Box","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/poly-carbonate-square-terminal-20240912171244102.png,/subcategory/weighbridgejunctionbox?id=1633,/industry/electrical
26770,"Flameproof Weatherproof Junction Box 4 Way 120 Mm Dia",₹620,,Simex,"M.H.ELECTRICAL","Kolkata, West Bengal","Weighbridge Junction Box","Electrical Panels & Distribution Box","Electrical",https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20240330092943-9502c567-930f-405d-82f9-00c0c8e2b608.jpg,/subcategory/weighbridgejunctionbox?id=1633,/industry/electrical
